City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Whitehorse,CA,60.7161,-135.0538,-3.23,65,100,6.91,light snow
230,Nador,MA,35.174,-2.9287,50.25,81,0,3.44,clear sky
231,Moree,AU,-29.4667,149.85,80.89,38,100,6.8,moderate rain
232,Tilichiki,RU,60.4667,166.1,14.41,93,37,6.17,scattered clouds
233,Oshawa,CA,43.9001,-78.8496,41.68,81,100,13.8,overcast clouds
234,Batagay,RU,67.6333,134.6333,-25.17,97,100,2.39,overcast clouds
235,Coquimbo,CL,-29.9533,-71.3436,60.53,94,100,5.75,overcast clouds
236,Cravo Norte,CO,6.3017,-70.2041,71.96,98,100,5.39,overcast clouds
237,Lethem,GY,3.3803,-59.7968,74.91,89,85,9.4,overcast clouds
238,Neiafu,TO,-18.65,-173.9833,79.81,77,30,15.08,scattered clouds
239,Saldanha,ZA,-33.0117,17.9442,64.45,90,46,5.86,scattered clouds
240,Xudat,AZ,41.631,48.681,43.27,70,100,5.82,overcast clouds
241,Susanville,US,40.4163,-120.653,32.13,72,0,1.99,clear sky
242,Ptichye,RU,45.5168,41.7115,34.03,66,100,23.85,overcast clouds
243,Bambous Virieux,MU,-20.3428,57.7575,81.21,65,20,8.05,few clouds
244,Leicester,GB,52.6386,-1.1317,41.49,95,100,4.59,overcast clouds
245,Kelowna,CA,49.8831,-119.4857,24.15,76,100,4.61,overcast clouds
246,Muroto,JP,33.2833,134.15,64.54,66,99,12.26,overcast clouds
247,San Andres,CO,12.5847,-81.7006,78.82,89,40,9.22,scattered clouds
248,Mitu,CO,1.1983,-70.1733,72.01,99,100,3.94,overcast clouds
249,Luena,AO,-11.7833,19.9167,61.61,97,97,1.97,overcast clouds
250,Caxito,AO,-8.5785,13.6643,74.44,90,100,3.98,light rain
251,Deputatskiy,RU,69.3,139.9,-18.62,100,100,1.68,overcast clouds
252,Luderitz,NA,-26.6481,15.1594,61.09,87,0,8.12,clear sky
253,Tiksi,RU,71.6872,128.8694,-25.58,100,95,3.51,overcast clouds
254,Laguna,US,38.421,-121.4238,48.09,70,0,4.61,clear sky
255,Hithadhoo,MV,-0.6,73.0833,81.43,74,90,6.04,overcast clouds
256,Bonthe,SL,7.5264,-12.505,77.0,83,46,2.71,scattered clouds
257,Urumqi,CN,43.801,87.6005,-1.25,71,0,4.47,clear sky
258,Grindavik,IS,63.8424,-22.4338,48.67,93,75,33.38,broken clouds
259,Thompson,CA,55.7435,-97.8558,-3.84,71,100,16.11,light snow
260,Grafton,US,42.207,-71.6856,34.83,84,98,1.48,overcast clouds
261,Ambovombe,MG,-25.1667,46.0833,76.6,73,100,5.37,overcast clouds
262,Aklavik,CA,68.2191,-135.0107,-9.49,84,100,3.83,overcast clouds
263,Mayumba,GA,-3.432,10.6554,75.74,87,100,3.09,overcast clouds
264,Bonfim,BR,3.0833,-59.95,74.08,91,98,6.8,overcast clouds
265,Kloulklubed,PW,7.0419,134.2556,84.7,76,96,21.43,overcast clouds
266,Kodiak,US,57.79,-152.4072,26.11,54,0,12.66,clear sky
267,Letpadan,MM,17.7833,95.75,86.25,60,56,9.17,broken clouds
268,Chuy,UY,-33.6971,-53.4616,65.84,96,5,8.25,clear sky
269,Bengkulu,ID,-3.8004,102.2655,83.08,73,94,6.13,overcast clouds
270,Narsaq,GL,60.9167,-46.05,28.62,86,100,4.63,overcast clouds
271,Terrace Bay,CA,48.7834,-87.1,39.49,98,100,17.56,overcast clouds
272,Coracora,PE,-15.0333,-73.7833,46.38,72,25,2.39,scattered clouds
273,Bilibino,RU,68.0546,166.4372,-4.77,100,98,2.42,overcast clouds
274,Anisoc,GQ,1.8658,10.7689,67.51,99,100,0.87,overcast clouds
275,Soroca,MD,48.1558,28.2975,33.4,85,100,6.38,overcast clouds
276,San Pedro,PH,14.35,121.0167,87.26,71,100,10.36,overcast clouds
277,Sandnessjoen,NO,66.0217,12.6316,39.42,63,0,5.75,clear sky
278,Half Moon Bay,US,37.4636,-122.4286,49.98,73,20,5.75,few clouds
279,Sotouboua,TG,8.5667,0.9833,71.24,63,53,1.3,broken clouds
280,Palu,ID,-0.8917,119.8707,85.84,68,100,3.94,overcast clouds
281,Manaira,BR,-7.7061,-38.1544,70.92,75,100,1.61,overcast clouds
282,Quatre Cocos,MU,-20.2078,57.7625,81.09,65,96,10.42,overcast clouds
283,Mareeba,AU,-17.0,145.4333,77.72,97,99,0.54,moderate rain
284,Bitung,ID,1.4451,125.1824,85.05,67,64,8.3,broken clouds
285,Andra,RU,62.5147,65.8878,-1.48,99,99,2.48,overcast clouds
286,Conde,BR,-7.2597,-34.9075,74.66,88,20,3.44,few clouds
287,Santa Cruz,BO,-17.8,-63.1667,81.86,44,40,9.22,scattered clouds
288,Pringsewu,ID,-5.3582,104.9744,89.17,49,77,6.29,broken clouds
289,Tucurui,BR,-3.7661,-49.6725,73.83,93,100,1.86,overcast clouds
290,Khudumelapye,BW,-23.8833,24.75,70.02,49,6,9.69,clear sky
291,Ormond Beach,US,29.2858,-81.0559,68.09,93,0,1.99,fog
292,Tevaitoa,PF,-16.7833,-151.5,79.79,75,18,11.81,few clouds
293,Anori,BR,-3.7728,-61.6442,72.91,96,70,2.01,broken clouds
294,Abnub,EG,27.2696,31.1511,53.82,55,0,2.73,clear sky
295,Oparino,RU,59.8518,48.2783,12.22,95,98,4.18,overcast clouds
296,Acapulco,MX,16.8634,-99.8901,75.02,88,75,5.75,broken clouds
297,Rocha,UY,-34.4833,-54.3333,60.82,98,6,6.76,clear sky
298,Labuhan,ID,-6.8844,112.2051,86.99,63,100,7.74,overcast clouds
299,Santeramo In Colle,IT,40.793,16.7553,51.19,94,40,9.22,scattered clouds
300,Diamantino,BR,-14.4086,-56.4461,73.89,61,13,4.36,few clouds
301,Kennebunk,US,43.384,-70.5448,40.14,91,100,3.44,overcast clouds
302,Penzance,GB,50.1186,-5.5371,50.68,80,100,16.67,overcast clouds
303,Pital,CO,2.2665,-75.8044,65.98,94,79,1.81,broken clouds
304,Lixourion,GR,38.2019,20.4314,60.8,59,75,18.41,broken clouds
305,Tungi,BD,23.89,90.4058,84.2,51,20,6.91,haze
306,Caravelas,BR,-17.7125,-39.2481,75.0,83,100,7.54,overcast clouds
307,Smolyaninovo,RU,43.2956,132.4675,11.66,41,68,13.38,broken clouds
308,Victoria,HK,22.2855,114.1577,75.38,82,61,13.0,broken clouds
309,Shelburne,CA,44.0787,-80.2041,39.99,92,100,17.72,overcast clouds
310,Funadhoo,MV,6.15,73.2667,81.37,69,15,4.59,few clouds
311,Novikovo,RU,51.1537,37.8879,22.46,69,62,11.36,broken clouds
312,Port Blair,IN,11.6667,92.75,86.04,70,40,6.91,scattered clouds
313,Pangkalanbuun,ID,-2.6833,111.6167,93.45,46,70,4.99,broken clouds
314,Evensk,RU,61.95,159.2333,18.03,81,100,20.02,overcast clouds
315,Hasanpur,IN,28.7167,78.2833,71.69,42,29,1.14,scattered clouds
316,Itarema,BR,-2.9248,-39.9167,75.72,85,100,3.15,overcast clouds
317,Toro,CO,4.6117,-76.0814,68.68,96,93,1.66,overcast clouds
318,Wagar,SD,16.1525,36.2032,79.03,47,1,8.12,clear sky
319,Ternate,ID,0.8,127.4,84.51,71,23,8.39,few clouds
320,Shepsi,RU,44.0361,39.1489,51.85,60,77,9.91,broken clouds
321,Sambava,MG,-14.2667,50.1667,78.03,67,1,4.25,clear sky
322,Ust-Ishim,RU,57.6935,71.1665,-4.59,86,68,3.76,broken clouds
323,La Solana,ES,38.9442,-3.2381,39.06,67,36,1.74,scattered clouds
324,Ostrovnoy,RU,68.0531,39.5131,28.81,91,88,15.32,overcast clouds
325,Vestmannaeyjar,IS,63.4427,-20.2734,48.42,91,100,31.05,light rain
326,Serenje,ZM,-13.2325,30.2352,61.47,94,99,8.79,overcast clouds
327,Mpanda,TZ,-6.3655,31.0409,66.7,93,100,1.39,light rain
328,Belmonte,BR,-15.8631,-38.8828,73.99,93,100,6.33,light rain
329,San Fernando,PH,15.0286,120.6898,94.73,52,81,12.46,broken clouds
330,Corinto,GR,37.9407,22.9573,52.9,93,100,3.53,overcast clouds
331,Kearney,US,40.6995,-99.0815,15.71,72,0,12.66,clear sky
332,Honningsvag,NO,70.9821,25.9704,37.15,81,75,14.97,broken clouds
333,Sola,VU,-13.8833,167.55,82.8,73,77,9.04,broken clouds
334,Panguna,PG,-6.3164,155.4848,75.74,85,100,2.35,moderate rain
335,Ayan,RU,56.45,138.1667,-8.25,92,100,28.36,overcast clouds
336,Cabedelo,BR,-6.9811,-34.8339,75.87,77,100,6.85,overcast clouds
337,Atar,MR,20.5169,-13.0499,64.38,21,0,7.14,clear sky
338,Igarka,RU,67.4667,86.5833,-2.97,99,100,5.06,overcast clouds
339,Halifax,CA,44.6453,-63.5724,30.2,73,8,4.0,clear sky
340,Mpophomeni,ZA,-29.5682,30.1862,65.71,62,14,2.33,few clouds
341,Lata,PT,40.1629,-8.3327,45.07,93,67,3.56,broken clouds
342,La Maddalena,IT,41.2142,9.4083,55.45,72,78,25.57,broken clouds
343,Cap Malheureux,MU,-19.9842,57.6142,81.46,55,99,10.0,overcast clouds
344,Khoy,IR,38.5504,44.9535,41.52,87,100,0.0,overcast clouds
